TITLE,PEGDA 1500 MgTFSI 30 03_05_18,
DATA TYPE,RAMAN SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,18/03/05,
TIME,9:27:25,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1041,
RESOLUTION,,
DELTAX,1,
XUNITS,1/CM,
YUNITS,INTENSITY,
FIRSTX,212.4148,
LASTX,2060.4148,
NPOINTS,1849,
FIRSTY,45.04688,
MAXY,944.58575,
MINY,29.04553,
XYDATA,,
212.4148,45.0469,
213.4148,80.0449,
214.4148,100.871,
215.4148,97.9502,
216.4148,84.4211,
217.4148,77.6061,
218.4148,77.6166,
219.4148,78.609,
220.4148,78.8792,
221.4148,78.4963,
222.4148,76.2631,
223.4148,70.5871,
224.4148,63.6532,
225.4148,59.8593,
226.4148,58.8492,
227.4148,56.5842,
228.4148,51.6801,
229.4148,45.4428,
230.4148,41.5558,
231.4148,46.0836,
232.4148,57.8984,
233.4148,66.1801,
234.4148,65.1203,
235.4148,57.9442,
236.4148,49.5259,
237.4148,46.319,
238.4148,50.294,
239.4148,52.9361,
240.4148,48.3779,
241.4148,41.7491,
242.4148,38.7673,
243.4148,41.1202,
244.4148,48.3592,
245.4148,54.887,
246.4148,55.1762,
247.4148,49.8844,
248.4148,41.7438,
249.4148,34.9857,
250.4148,33.7506,
251.4148,38.0052,
252.4148,45.6652,
253.4148,52.0432,
254.4148,51.9054,
255.4148,47.3318,
256.4148,44.2547,
257.4148,44.0238,
258.4148,44.8827,
259.4148,45.363,
260.4148,44.3304,
261.4148,41.8552,
262.4148,39.1259,
263.4148,37.9638,
264.4148,40.7628,
265.4148,48.025,
266.4148,57.8441,
267.4148,65.7827,
268.4148,64.1244,
269.4148,52.8636,
270.4148,45.0458,
271.4148,47.6926,
272.4148,54.016,
273.4148,58.1221,
274.4148,59.5414,
275.4148,60.4618,
276.4148,68.0374,
277.4148,85.2429,
278.4148,100.154,
279.4148,103.915,
280.4148,108.128,
281.4148,123.804,
282.4148,141.278,
283.4148,149.028,
284.4148,151.803,
285.4148,157.301,
286.4148,162.762,
287.4148,162.37,
288.4148,153.816,
289.4148,137.089,
290.4148,118.991,
291.4148,108.231,
292.4148,102.836,
293.4148,95.6944,
294.4148,84.3582,
295.4148,69.5727,
296.4148,56.9001,
297.4148,54.3213,
298.4148,57.7759,
299.4148,54.6418,
300.4148,44.7161,
301.4148,38.3628,
302.4148,38.0496,
303.4148,38.393,
304.4148,38.96,
305.4148,44.9158,
306.4148,54.9947,
307.4148,59.8146,
308.4148,57.0701,
309.4148,54.8718,
310.4148,57.3791,
311.4148,61.4432,
312.4148,64.9314,
313.4148,68.5725,
314.4148,72.3277,
315.4148,74.1082,
316.4148,74.2442,
317.4148,78.8851,
318.4148,90.2609,
319.4148,99.0445,
320.4148,100.368,
321.4148,106.549,
322.4148,125.077,
323.4148,139.247,
324.4148,135.345,
325.4148,126.516,
326.4148,126.343,
327.4148,127.086,
328.4148,118.778,
329.4148,104.698,
330.4148,91.256,
331.4148,82.3355,
332.4148,79.4051,
333.4148,74.904,
334.4148,60.7503,
335.4148,44.8104,
336.4148,39.3058,
337.4148,44.4647,
338.4148,55.0922,
339.4148,63.304,
340.4148,61.2859,
341.4148,52.6717,
342.4148,46.3004,
343.4148,44.3516,
344.4148,45.5127,
